paymentId,gcTransactionId,instructionId,endToEndId,timestamp,paymentMethod,serviceLevel,debtorAccount,debtorCountry,debtorBic,debtorAgentBic,creditorAccount,creditorCountry,creditorBic,creditorAgentBic,intermediaryAgentBic,instructedAmount,instructedCurrency,equivalentAmount,equivalentCurrency,chargeBearer,purposeCode,status,railName,errorCode,errorMessage,requestShape,responseShape,requestPayload,responsePayload,failureCategory,actualOrigin,originSource
MER-PAY-20250317-000001,gc-5ab47450-a4c3-790b-ab9539507d4d,GC-INSTR-7D9719CBC4D01270C1D5,E2E-0F85838E929394B0EC033FE1,2025-03-17T08:11:25.739Z,SCT,,NL39INGB02405102658,NL,,,IT67X9279086208946869FLK890,IT,,,,4261.28,EUR,,,,,ACCEPTED,SCT,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000001"", ""instructionId"": ""GC-INSTR-7D9719CBC4D01270C1D5"", ""endToEndId"": ""E2E-0F85838E929394B0EC033FE1"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Kasim Yilmaz"", ""account"": ""NL39INGB02405102658""}, ""creditor"": {""name"": ""Carlos Garcia"", ""account"": ""IT67X9279086208946869FLK890""}, ""instructedAmount"": {""value"": 4261.28, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000001"", ""gcTransactionId"": ""gc-5ab47450-a4c3-790b-ab9539507d4d"", ""instructionId"": ""GC-INSTR-7D9719CBC4D01270C1D5"", ""endToEndId"": ""E2E-0F85838E929394B0EC033FE1"", ""status"": ""ACCEPTED"", ""railName"": ""SCT"", ""schemeReference"": ""EBACLRNG20260625243120"", ""acceptedTimestamp"": ""2025-03-17T08:11:25.739Z"", ""expectedSettlement"": ""2025-03-18T08:11:25.925Z""}",,,
MER-PAY-20250317-000002,gc-223c1a2d-c117-a9fd-cd6c5fa4eb2a,GC-INSTR-5418CBACB16780508A8B,E2E-3DB8C8EDF4A2F4835FE178E0,2025-03-17T08:14:09.520Z,SCT_INST,INST,NL79TRIO04770906761,NL,,,FR695944228924B57AB16F70876,FR,,,,1411.07,EUR,,,,,ACCEPTED,SCT_INST,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000002"", ""instructionId"": ""GC-INSTR-5418CBACB16780508A8B"", ""endToEndId"": ""E2E-3DB8C8EDF4A2F4835FE178E0"", ""paymentMethod"": ""SCT_INST"", ""debtor"": {""name"": ""Aisha Mensah"", ""account"": ""NL79TRIO04770906761""}, ""creditor"": {""name"": ""Ines De Smet"", ""account"": ""FR695944228924B57AB16F70876""}, ""instructedAmount"": {""value"": 1411.07, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17"", ""serviceLevel"": ""INST""}","{""paymentId"": ""MER-PAY-20250317-000002"", ""gcTransactionId"": ""gc-223c1a2d-c117-a9fd-cd6c5fa4eb2a"", ""instructionId"": ""GC-INSTR-5418CBACB16780508A8B"", ""endToEndId"": ""E2E-3DB8C8EDF4A2F4835FE178E0"", ""status"": ""ACCEPTED"", ""railName"": ""SCT_INST"", ""schemeReference"": ""RT1INST202606252727684"", ""acceptedTimestamp"": ""2025-03-17T08:14:09.520Z"", ""expectedSettlement"": ""2025-03-17T08:14:17.833Z""}",,,
MER-PAY-20250317-000003,gc-ea645697-1965-ec90-c4c09b7045a1,GC-INSTR-F708B593F26F72FE13EB,E2E-C52C219E0B7C82D93F8CD3DA,2025-03-17T08:37:14.418Z,SCT_INST,INST,NL98TRIO03517454693,NL,,,BE25126373341720,BE,,,,136.77,EUR,,,,,ACCEPTED,SCT_INST,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000003"", ""instructionId"": ""GC-INSTR-F708B593F26F72FE13EB"", ""endToEndId"": ""E2E-C52C219E0B7C82D93F8CD3DA"", ""paymentMethod"": ""SCT_INST"", ""debtor"": {""name"": ""Eva Peters"", ""account"": ""NL98TRIO03517454693""}, ""creditor"": {""name"": ""Maria Rossi"", ""account"": ""BE25126373341720""}, ""instructedAmount"": {""value"": 136.77, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17"", ""serviceLevel"": ""INST""}","{""paymentId"": ""MER-PAY-20250317-000003"", ""gcTransactionId"": ""gc-ea645697-1965-ec90-c4c09b7045a1"", ""instructionId"": ""GC-INSTR-F708B593F26F72FE13EB"", ""endToEndId"": ""E2E-C52C219E0B7C82D93F8CD3DA"", ""status"": ""ACCEPTED"", ""railName"": ""SCT_INST"", ""schemeReference"": ""RT1INST202606253525672"", ""acceptedTimestamp"": ""2025-03-17T08:37:14.418Z"", ""expectedSettlement"": ""2025-03-17T08:37:19.193Z""}",,,
MER-PAY-20250317-000004,gc-ab34e8e0-2a62-9fa2-55829dee819f,GC-INSTR-DC7A987649EF7847C241,E2E-2504C9E6DD98A7F8F548ECF3,2025-03-17T08:37:19.118Z,SCT_INST,INST,NL94KNAB09360596275,NL,,,DE9988037790324191775,DE,,,,954.65,EUR,,,,,ACCEPTED,SCT_INST,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000004"", ""instructionId"": ""GC-INSTR-DC7A987649EF7847C241"", ""endToEndId"": ""E2E-2504C9E6DD98A7F8F548ECF3"", ""paymentMethod"": ""SCT_INST"", ""debtor"": {""name"": ""Hendrik Visser"", ""account"": ""NL94KNAB09360596275""}, ""creditor"": {""name"": ""Maria Rossi"", ""account"": ""DE9988037790324191775""}, ""instructedAmount"": {""value"": 954.65, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17"", ""serviceLevel"": ""INST""}","{""paymentId"": ""MER-PAY-20250317-000004"", ""gcTransactionId"": ""gc-ab34e8e0-2a62-9fa2-55829dee819f"", ""instructionId"": ""GC-INSTR-DC7A987649EF7847C241"", ""endToEndId"": ""E2E-2504C9E6DD98A7F8F548ECF3"", ""status"": ""ACCEPTED"", ""railName"": ""SCT_INST"", ""schemeReference"": ""RT1INST202606259655910"", ""acceptedTimestamp"": ""2025-03-17T08:37:19.118Z"", ""expectedSettlement"": ""2025-03-17T08:37:21.113Z""}",,,
MER-PAY-20250317-000005,gc-ee1a581c-c115-2ccd-00cd92ad7dc1,GC-INSTR-E0C6AE7FA5CEB9F9B55C,E2E-1B3B11F0C3015873F924AD02,2025-03-17T08:55:10.081Z,SCT,,NL39INGB04289311325,NL,,,FR60932698763546A34530EA430,FR,,,,355.02,EUR,,,,,ACCEPTED,SCT,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000005"", ""instructionId"": ""GC-INSTR-E0C6AE7FA5CEB9F9B55C"", ""endToEndId"": ""E2E-1B3B11F0C3015873F924AD02"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Sophie de Boer"", ""account"": ""NL39INGB04289311325""}, ""creditor"": {""name"": ""Marie Dubois"", ""account"": ""FR60932698763546A34530EA430""}, ""instructedAmount"": {""value"": 355.02, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000005"", ""gcTransactionId"": ""gc-ee1a581c-c115-2ccd-00cd92ad7dc1"", ""instructionId"": ""GC-INSTR-E0C6AE7FA5CEB9F9B55C"", ""endToEndId"": ""E2E-1B3B11F0C3015873F924AD02"", ""status"": ""ACCEPTED"", ""railName"": ""SCT"", ""schemeReference"": ""EBACLRNG20260625617915"", ""acceptedTimestamp"": ""2025-03-17T08:55:10.081Z"", ""expectedSettlement"": ""2025-03-18T08:55:10.352Z""}",,,
MER-PAY-20250317-000006,gc-3139c484-0c1c-b5de-7e2775ab4b01,GC-INSTR-66708E80608CC79AB9FC,E2E-8CD1E9FCC647EBA1A58BD609,2025-03-17T08:55:31.638Z,SCT,,NL83INGB05624395873,NL,,,BE83256416833328,BE,,,,1576.98,EUR,,,,,FAILED,SCT,LIMIT.EXCEEDED,Core rejected: LIMIT.EXCEEDED,COMPLETE,PARTIAL,"{""paymentId"": ""MER-PAY-20250317-000006"", ""instructionId"": ""GC-INSTR-66708E80608CC79AB9FC"", ""endToEndId"": ""E2E-8CD1E9FCC647EBA1A58BD609"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Jan de Vries"", ""account"": ""NL83INGB05624395873""}, ""creditor"": {""name"": ""Carlos Garcia"", ""account"": ""BE83256416833328""}, ""instructedAmount"": {""value"": 1576.98, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000006"", ""gcTransactionId"": ""gc-3139c484-0c1c-b5de-7e2775ab4b01"", ""instructionId"": ""GC-INSTR-66708E80608CC79AB9FC"", ""endToEndId"": ""E2E-8CD1E9FCC647EBA1A58BD609"", ""status"": ""FAILED"", ""failedTimestamp"": ""2025-03-17T08:55:38.019Z"", ""railName"": ""SCT"", ""errorCode"": ""LIMIT.EXCEEDED"", ""errorMessage"": ""Core rejected: LIMIT.EXCEEDED""}",CORE_VALIDATION,CORE,RECONSTRUCTED_FROM_LOGS
MER-PAY-20250317-000007,gc-0960790d-c706-9a97-69f5a6b1c9ca,GC-INSTR-65D602D2F6E794C1ED86,E2E-CE663FC73ECB900283CF3513,2025-03-17T09:03:48.076Z,SCT,,NL61INGB00974274936,NL,,,FR5072886844196CEF4F3CFAA68,FR,,,,4032.73,EUR,,,,,ACCEPTED,SCT,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000007"", ""instructionId"": ""GC-INSTR-65D602D2F6E794C1ED86"", ""endToEndId"": ""E2E-CE663FC73ECB900283CF3513"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Thijs Hendriks"", ""account"": ""NL61INGB00974274936""}, ""creditor"": {""name"": ""Carlos Garcia"", ""account"": ""FR5072886844196CEF4F3CFAA68""}, ""instructedAmount"": {""value"": 4032.73, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000007"", ""gcTransactionId"": ""gc-0960790d-c706-9a97-69f5a6b1c9ca"", ""instructionId"": ""GC-INSTR-65D602D2F6E794C1ED86"", ""endToEndId"": ""E2E-CE663FC73ECB900283CF3513"", ""status"": ""ACCEPTED"", ""railName"": ""SCT"", ""schemeReference"": ""EBACLRNG20260625911785"", ""acceptedTimestamp"": ""2025-03-17T09:03:48.076Z"", ""expectedSettlement"": ""2025-03-18T09:03:48.643Z""}",,,
MER-PAY-20250317-000008,gc-dae8de8b-62f8-f239-32b8dd75ad2c,GC-INSTR-8F98C7249F0BA3F9F9F1,E2E-A3119D04819C48A04F99C05F,2025-03-17T09:14:05.365Z,SCT,,NL22TRIO08356521568,NL,,,IT29X1310486962HAJ03F1DK54E,IT,,,,3855.69,EUR,,,,,ACCEPTED,SCT,,,COMPLETE,STRUCTURED,"{""paymentId"": ""MER-PAY-20250317-000008"", ""instructionId"": ""GC-INSTR-8F98C7249F0BA3F9F9F1"", ""endToEndId"": ""E2E-A3119D04819C48A04F99C05F"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Lotte van Dijk"", ""account"": ""NL22TRIO08356521568""}, ""creditor"": {""name"": ""Sophie Martin"", ""account"": ""IT29X1310486962HAJ03F1DK54E""}, ""instructedAmount"": {""value"": 3855.69, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000008"", ""gcTransactionId"": ""gc-dae8de8b-62f8-f239-32b8dd75ad2c"", ""instructionId"": ""GC-INSTR-8F98C7249F0BA3F9F9F1"", ""endToEndId"": ""E2E-A3119D04819C48A04F99C05F"", ""status"": ""ACCEPTED"", ""railName"": ""SCT"", ""schemeReference"": ""EBACLRNG20260625268870"", ""acceptedTimestamp"": ""2025-03-17T09:14:05.365Z"", ""expectedSettlement"": ""2025-03-18T09:14:05.986Z""}",,,
MER-PAY-20250317-000009,gc-63644b86-fbfc-b790-c77142a183f9,GC-INSTR-16D8DC076BD0B9D43877,E2E-F3778BBE6120813D1E7A82D6,2025-03-17T09:20:54.303Z,SCT,,NL97KNAB04859592248,NL,,,FR8858660780769735BFE2B7532,FR,,,,2378.94,EUR,,,,,FAILED,,INSUFF.FUNDS,Core rejected: INSUFF.FUNDS,COMPLETE,PARTIAL,"{""paymentId"": ""MER-PAY-20250317-000009"", ""instructionId"": ""GC-INSTR-16D8DC076BD0B9D43877"", ""endToEndId"": ""E2E-F3778BBE6120813D1E7A82D6"", ""paymentMethod"": ""SCT"", ""debtor"": {""name"": ""Lotte van Dijk"", ""account"": ""NL97KNAB04859592248""}, ""creditor"": {""name"": ""Sophie Martin"", ""account"": ""FR8858660780769735BFE2B7532""}, ""instructedAmount"": {""value"": 2378.94, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17""}","{""paymentId"": ""MER-PAY-20250317-000009"", ""gcTransactionId"": ""gc-63644b86-fbfc-b790-c77142a183f9"", ""instructionId"": ""GC-INSTR-16D8DC076BD0B9D43877"", ""endToEndId"": ""E2E-F3778BBE6120813D1E7A82D6"", ""status"": ""FAILED"", ""failedTimestamp"": ""2025-03-17T09:20:56.445Z"", ""errorCode"": ""INSUFF.FUNDS"", ""errorMessage"": ""Core rejected: INSUFF.FUNDS""}",CORE_VALIDATION,CORE,RECONSTRUCTED_FROM_LOGS
MER-PAY-20250317-000010,gc-e233e237-0480-aa48-98641e21b5a2,GC-INSTR-93972E46B9B0760FDAAF,E2E-41BC47D2A7E536D2FDF4ACFC,2025-03-17T09:23:58.301Z,SWIFT,URGP,NL96ABNA01990656322,NL,,ABNANL2A,67043161475,PK,HABBPKKA,HABBPKKA,DEUTDEFF,2400.24,EUR,,,SHAR,SUPP,FAILED,SWIFT,PAYMENT_FAILED,Payment failed downstream,COMPLETE,GENERIC,"{""paymentId"": ""MER-PAY-20250317-000010"", ""instructionId"": ""GC-INSTR-93972E46B9B0760FDAAF"", ""endToEndId"": ""E2E-41BC47D2A7E536D2FDF4ACFC"", ""paymentMethod"": ""SWIFT"", ""debtor"": {""name"": ""Eva Peters"", ""account"": ""NL96ABNA01990656322"", ""address"": {""country"": ""NL"", ""city"": ""Amsterdam"", ""addressLine"": ""Stationsplein 9""}}, ""creditor"": {""name"": ""Tariq Hussain"", ""account"": ""67043161475"", ""address"": {""country"": ""PK"", ""city"": ""Local""}}, ""instructedAmount"": {""value"": 2400.24, ""currency"": ""EUR""}, ""requestedExecutionDate"": ""2025-03-17"", ""debtorAgent"": {""bic"": ""ABNANL2A""}, ""creditorAgent"": {""bic"": ""HABBPKKA""}, ""intermediaryAgent"": {""bic"": ""DEUTDEFF""}, ""chargeBearer"": ""SHAR"", ""purposeCode"": ""SUPP"", ""serviceLevel"": ""URGP""}","{""paymentId"": ""MER-PAY-20250317-000010"", ""gcTransactionId"": ""gc-e233e237-0480-aa48-98641e21b5a2"", ""instructionId"": ""GC-INSTR-93972E46B9B0760FDAAF"", ""endToEndId"": ""E2E-41BC47D2A7E536D2FDF4ACFC"", ""status"": ""FAILED"", ""failedTimestamp"": ""2025-03-17T09:24:07.778Z"", ""railName"": ""SWIFT"", ""errorCode"": ""PAYMENT_FAILED"", ""errorMessage"": ""Payment failed downstream""}",CORRESPONDENT_REJECT,DOWNSTREAM,KNOWN_FROM_TEST_DESIGN
